OOB	CEN	LAB	NW	SW
0.323033708	0.485294118	0.279069767	0.125	0.43902439
0.320224719	0.5	0.279069767	0.09375	0.414634146
0.311797753	0.485294118	0.269767442	0.0625	0.43902439
0.331460674	0.5	0.288372093	0.09375	0.463414634
0.31741573	0.485294118	0.279069767	0.0625	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.320224719	0.485294118	0.279069767	0.09375	0.43902439
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.306179775	0.470588235	0.260465116	0.09375	0.43902439
0.31741573	0.485294118	0.279069767	0.0625	0.43902439
0.320224719	0.544117647	0.269767442	0.0625	0.414634146
0.323033708	0.544117647	0.274418605	0.0625	0.414634146
0.31741573	0.529411765	0.260465116	0.09375	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.323033708	0.5	0.279069767	0.125	0.414634146
0.334269663	0.529411765	0.288372093	0.09375	0.43902439
0.320224719	0.485294118	0.279069767	0.09375	0.43902439
0.31741573	0.5	0.279069767	0.0625	0.414634146
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.314606742	0.470588235	0.274418605	0.09375	0.43902439
0.320224719	0.485294118	0.28372093	0.0625	0.43902439
0.320224719	0.529411765	0.269767442	0.0625	0.43902439
0.323033708	0.529411765	0.279069767	0.0625	0.414634146
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.314606742	0.470588235	0.28372093	0.0625	0.414634146
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.320224719	0.529411765	0.265116279	0.09375	0.43902439
0.328651685	0.544117647	0.274418605	0.0625	0.463414634
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.31741573	0.5	0.279069767	0.0625	0.414634146
0.328651685	0.5	0.288372093	0.09375	0.43902439
0.31741573	0.485294118	0.274418605	0.09375	0.43902439
0.323033708	0.514705882	0.274418605	0.0625	0.463414634
0.325842697	0.5	0.288372093	0.0625	0.43902439
0.320224719	0.529411765	0.269767442	0.0625	0.43902439
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.31741573	0.514705882	0.265116279	0.09375	0.43902439
0.311797753	0.5	0.269767442	0.0625	0.414634146
0.320224719	0.5	0.269767442	0.09375	0.463414634
0.325842697	0.5	0.279069767	0.125	0.43902439
0.308988764	0.5	0.265116279	0.0625	0.414634146
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.334269663	0.544117647	0.279069767	0.09375	0.463414634
0.31741573	0.529411765	0.260465116	0.09375	0.43902439
0.320224719	0.470588235	0.28372093	0.09375	0.43902439
0.311797753	0.5	0.265116279	0.09375	0.414634146
0.31741573	0.514705882	0.269767442	0.125	0.390243902
0.331460674	0.529411765	0.288372093	0.09375	0.414634146
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.314606742	0.5	0.265116279	0.09375	0.43902439
0.323033708	0.514705882	0.269767442	0.125	0.43902439
0.328651685	0.529411765	0.28372093	0.09375	0.414634146
0.308988764	0.5	0.265116279	0.0625	0.414634146
0.311797753	0.514705882	0.269767442	0.0625	0.390243902
0.314606742	0.5	0.274418605	0.0625	0.414634146
0.320224719	0.514705882	0.274418605	0.09375	0.414634146
0.320224719	0.529411765	0.269767442	0.0625	0.43902439
0.314606742	0.5	0.265116279	0.09375	0.43902439
0.31741573	0.529411765	0.265116279	0.0625	0.43902439
0.311797753	0.5	0.269767442	0.0625	0.414634146
0.325842697	0.514705882	0.28372093	0.0625	0.43902439
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.328651685	0.514705882	0.28372093	0.09375	0.43902439
0.31741573	0.5	0.274418605	0.09375	0.414634146
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.331460674	0.529411765	0.28372093	0.09375	0.43902439
0.323033708	0.514705882	0.269767442	0.09375	0.463414634
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.314606742	0.5	0.269767442	0.09375	0.414634146
0.31741573	0.485294118	0.269767442	0.125	0.43902439
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.314606742	0.514705882	0.265116279	0.0625	0.43902439
0.320224719	0.529411765	0.269767442	0.0625	0.43902439
0.320224719	0.5	0.279069767	0.0625	0.43902439
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.320224719	0.529411765	0.269767442	0.09375	0.414634146
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.323033708	0.529411765	0.269767442	0.0625	0.463414634
0.314606742	0.5	0.269767442	0.09375	0.414634146
0.320224719	0.485294118	0.279069767	0.09375	0.43902439
0.308988764	0.485294118	0.260465116	0.09375	0.43902439
0.31741573	0.5	0.274418605	0.09375	0.414634146
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.311797753	0.5	0.265116279	0.0625	0.43902439
0.320224719	0.485294118	0.274418605	0.125	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.323033708	0.514705882	0.274418605	0.0625	0.463414634
0.323033708	0.529411765	0.269767442	0.09375	0.43902439
0.311797753	0.470588235	0.274418605	0.0625	0.43902439
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.320224719	0.485294118	0.28372093	0.0625	0.43902439
0.331460674	0.529411765	0.274418605	0.15625	0.43902439
0.320224719	0.485294118	0.28372093	0.0625	0.43902439
0.31741573	0.514705882	0.265116279	0.09375	0.43902439
0.31741573	0.514705882	0.265116279	0.09375	0.43902439
0.314606742	0.5	0.265116279	0.0625	0.463414634
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.325842697	0.5	0.28372093	0.09375	0.43902439
0.306179775	0.485294118	0.265116279	0.0625	0.414634146
0.325842697	0.514705882	0.274418605	0.125	0.43902439
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.308988764	0.470588235	0.269767442	0.09375	0.414634146
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.31741573	0.485294118	0.279069767	0.0625	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.314606742	0.514705882	0.265116279	0.0625	0.43902439
0.320224719	0.5	0.279069767	0.09375	0.414634146
0.31741573	0.470588235	0.279069767	0.09375	0.43902439
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.31741573	0.470588235	0.279069767	0.09375	0.43902439
0.31741573	0.485294118	0.279069767	0.0625	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.31741573	0.514705882	0.269767442	0.09375	0.414634146
0.314606742	0.485294118	0.269767442	0.09375	0.43902439
0.325842697	0.5	0.288372093	0.0625	0.43902439
0.31741573	0.5	0.265116279	0.09375	0.463414634
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.323033708	0.514705882	0.269767442	0.125	0.43902439
0.323033708	0.5	0.28372093	0.0625	0.43902439
0.328651685	0.5	0.28372093	0.09375	0.463414634
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.31741573	0.485294118	0.274418605	0.09375	0.43902439
0.323033708	0.529411765	0.265116279	0.125	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.328651685	0.514705882	0.288372093	0.0625	0.43902439
0.308988764	0.485294118	0.269767442	0.09375	0.390243902
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.320224719	0.485294118	0.279069767	0.09375	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.31741573	0.485294118	0.279069767	0.0625	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.314606742	0.470588235	0.269767442	0.125	0.43902439
0.31741573	0.5	0.279069767	0.0625	0.414634146
0.328651685	0.514705882	0.28372093	0.09375	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.311797753	0.485294118	0.265116279	0.09375	0.43902439
0.31741573	0.5	0.274418605	0.09375	0.414634146
0.320224719	0.514705882	0.279069767	0.0625	0.414634146
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.31741573	0.529411765	0.260465116	0.09375	0.43902439
0.323033708	0.485294118	0.279069767	0.125	0.43902439
0.323033708	0.514705882	0.279069767	0.09375	0.414634146
0.328651685	0.5	0.288372093	0.09375	0.43902439
0.314606742	0.514705882	0.265116279	0.09375	0.414634146
0.311797753	0.514705882	0.260465116	0.0625	0.43902439
0.311797753	0.5	0.265116279	0.0625	0.43902439
0.31741573	0.485294118	0.274418605	0.09375	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.314606742	0.470588235	0.274418605	0.09375	0.43902439
0.311797753	0.485294118	0.269767442	0.09375	0.414634146
0.314606742	0.5	0.274418605	0.0625	0.414634146
0.323033708	0.5	0.274418605	0.125	0.43902439
0.314606742	0.5	0.274418605	0.0625	0.414634146
0.320224719	0.529411765	0.269767442	0.0625	0.43902439
0.308988764	0.5	0.265116279	0.0625	0.414634146
0.323033708	0.5	0.28372093	0.0625	0.43902439
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.328651685	0.529411765	0.279069767	0.125	0.414634146
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.325842697	0.529411765	0.279069767	0.0625	0.43902439
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.311797753	0.5	0.269767442	0.0625	0.414634146
0.328651685	0.514705882	0.28372093	0.09375	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.31741573	0.514705882	0.269767442	0.09375	0.414634146
0.323033708	0.529411765	0.274418605	0.0625	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.323033708	0.514705882	0.269767442	0.125	0.43902439
0.325842697	0.5	0.279069767	0.125	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.325842697	0.529411765	0.279069767	0.0625	0.43902439
0.328651685	0.544117647	0.279069767	0.0625	0.43902439
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.323033708	0.529411765	0.269767442	0.125	0.414634146
0.311797753	0.5	0.265116279	0.0625	0.43902439
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.323033708	0.5	0.274418605	0.125	0.43902439
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.31741573	0.514705882	0.265116279	0.0625	0.463414634
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.308988764	0.5	0.260465116	0.0625	0.43902439
0.323033708	0.5	0.279069767	0.125	0.414634146
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.328651685	0.544117647	0.274418605	0.09375	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.325842697	0.514705882	0.28372093	0.0625	0.43902439
0.325842697	0.544117647	0.274418605	0.0625	0.43902439
0.325842697	0.514705882	0.28372093	0.09375	0.414634146
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.323033708	0.485294118	0.28372093	0.09375	0.43902439
0.325842697	0.514705882	0.274418605	0.09375	0.463414634
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.320224719	0.470588235	0.28372093	0.09375	0.43902439
0.306179775	0.5	0.255813953	0.0625	0.43902439
0.320224719	0.5	0.279069767	0.0625	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.320224719	0.514705882	0.274418605	0.09375	0.414634146
0.31741573	0.514705882	0.265116279	0.09375	0.43902439
0.323033708	0.514705882	0.279069767	0.09375	0.414634146
0.314606742	0.5	0.274418605	0.0625	0.414634146
0.314606742	0.514705882	0.274418605	0.0625	0.390243902
0.323033708	0.5	0.274418605	0.125	0.43902439
0.325842697	0.544117647	0.279069767	0.0625	0.414634146
0.323033708	0.529411765	0.274418605	0.0625	0.43902439
0.314606742	0.485294118	0.274418605	0.09375	0.414634146
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.311797753	0.5	0.269767442	0.0625	0.414634146
0.311797753	0.514705882	0.265116279	0.09375	0.390243902
0.323033708	0.529411765	0.269767442	0.09375	0.43902439
0.325842697	0.514705882	0.28372093	0.0625	0.43902439
0.320224719	0.5	0.28372093	0.0625	0.414634146
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.331460674	0.5	0.288372093	0.125	0.43902439
0.323033708	0.514705882	0.269767442	0.125	0.43902439
0.31741573	0.485294118	0.274418605	0.125	0.414634146
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.311797753	0.485294118	0.269767442	0.0625	0.43902439
0.325842697	0.514705882	0.28372093	0.0625	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.325842697	0.544117647	0.274418605	0.0625	0.43902439
0.320224719	0.544117647	0.265116279	0.0625	0.43902439
0.323033708	0.5	0.274418605	0.125	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.323033708	0.5	0.28372093	0.0625	0.43902439
0.328651685	0.529411765	0.28372093	0.0625	0.43902439
0.320224719	0.558823529	0.260465116	0.0625	0.43902439
0.323033708	0.529411765	0.274418605	0.09375	0.414634146
0.31741573	0.485294118	0.279069767	0.09375	0.414634146
0.314606742	0.514705882	0.260465116	0.09375	0.43902439
0.325842697	0.544117647	0.269767442	0.09375	0.43902439
0.323033708	0.529411765	0.274418605	0.0625	0.43902439
0.311797753	0.514705882	0.260465116	0.09375	0.414634146
0.314606742	0.5	0.260465116	0.125	0.43902439
0.323033708	0.529411765	0.28372093	0.0625	0.390243902
0.31741573	0.529411765	0.265116279	0.0625	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.320224719	0.485294118	0.279069767	0.0625	0.463414634
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.308988764	0.485294118	0.269767442	0.0625	0.414634146
0.325842697	0.529411765	0.269767442	0.15625	0.414634146
0.314606742	0.485294118	0.265116279	0.125	0.43902439
0.314606742	0.514705882	0.269767442	0.0625	0.414634146
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.323033708	0.485294118	0.279069767	0.125	0.43902439
0.314606742	0.485294118	0.274418605	0.09375	0.414634146
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.33988764	0.544117647	0.288372093	0.09375	0.463414634
0.323033708	0.5	0.28372093	0.0625	0.43902439
0.320224719	0.514705882	0.269767442	0.09375	0.43902439
0.323033708	0.485294118	0.28372093	0.09375	0.43902439
0.337078652	0.514705882	0.293023256	0.125	0.43902439
0.308988764	0.514705882	0.255813953	0.09375	0.414634146
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.31741573	0.485294118	0.28372093	0.0625	0.414634146
0.314606742	0.485294118	0.269767442	0.09375	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.325842697	0.5	0.28372093	0.09375	0.43902439
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.328651685	0.529411765	0.274418605	0.125	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.323033708	0.514705882	0.279069767	0.09375	0.414634146
0.31741573	0.529411765	0.265116279	0.09375	0.414634146
0.31741573	0.529411765	0.265116279	0.0625	0.43902439
0.311797753	0.514705882	0.260465116	0.09375	0.414634146
0.323033708	0.529411765	0.274418605	0.0625	0.43902439
0.31741573	0.544117647	0.255813953	0.09375	0.43902439
0.31741573	0.485294118	0.279069767	0.0625	0.43902439
0.331460674	0.514705882	0.288372093	0.09375	0.43902439
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.311797753	0.5	0.260465116	0.09375	0.43902439
0.320224719	0.514705882	0.279069767	0.0625	0.414634146
0.323033708	0.529411765	0.274418605	0.0625	0.43902439
0.328651685	0.544117647	0.274418605	0.09375	0.43902439
0.314606742	0.470588235	0.279069767	0.09375	0.414634146
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.320224719	0.514705882	0.279069767	0.0625	0.414634146
0.320224719	0.544117647	0.265116279	0.0625	0.43902439
0.328651685	0.514705882	0.28372093	0.09375	0.43902439
0.323033708	0.514705882	0.279069767	0.09375	0.414634146
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.323033708	0.485294118	0.288372093	0.0625	0.43902439
0.31741573	0.485294118	0.274418605	0.09375	0.43902439
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.306179775	0.485294118	0.255813953	0.09375	0.43902439
0.320224719	0.5	0.279069767	0.0625	0.43902439
0.314606742	0.470588235	0.274418605	0.09375	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.323033708	0.529411765	0.269767442	0.09375	0.43902439
0.320224719	0.485294118	0.274418605	0.125	0.43902439
0.31741573	0.529411765	0.269767442	0.09375	0.390243902
0.328651685	0.529411765	0.288372093	0.0625	0.414634146
0.314606742	0.485294118	0.274418605	0.0625	0.43902439
0.31741573	0.514705882	0.269767442	0.09375	0.414634146
0.314606742	0.514705882	0.269767442	0.0625	0.414634146
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.323033708	0.485294118	0.288372093	0.09375	0.414634146
0.328651685	0.514705882	0.279069767	0.09375	0.463414634
0.320224719	0.485294118	0.279069767	0.09375	0.43902439
0.306179775	0.5	0.260465116	0.0625	0.414634146
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.325842697	0.529411765	0.274418605	0.09375	0.43902439
0.31741573	0.529411765	0.265116279	0.09375	0.414634146
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.325842697	0.529411765	0.274418605	0.09375	0.43902439
0.323033708	0.529411765	0.269767442	0.09375	0.43902439
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.311797753	0.5	0.269767442	0.0625	0.414634146
0.311797753	0.5	0.255813953	0.09375	0.463414634
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.320224719	0.529411765	0.269767442	0.09375	0.414634146
0.314606742	0.485294118	0.274418605	0.09375	0.414634146
0.325842697	0.544117647	0.274418605	0.09375	0.414634146
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.314606742	0.5	0.274418605	0.0625	0.414634146
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.320224719	0.485294118	0.274418605	0.125	0.43902439
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.325842697	0.5	0.28372093	0.09375	0.43902439
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.325842697	0.514705882	0.28372093	0.09375	0.414634146
0.323033708	0.485294118	0.28372093	0.125	0.414634146
0.314606742	0.5	0.265116279	0.09375	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.323033708	0.5	0.28372093	0.0625	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.308988764	0.485294118	0.265116279	0.09375	0.414634146
0.314606742	0.485294118	0.269767442	0.09375	0.43902439
0.320224719	0.529411765	0.265116279	0.09375	0.43902439
0.331460674	0.544117647	0.274418605	0.125	0.43902439
0.314606742	0.5	0.265116279	0.09375	0.43902439
0.323033708	0.514705882	0.274418605	0.09375	0.43902439
0.320224719	0.5	0.279069767	0.09375	0.414634146
0.31741573	0.5	0.269767442	0.125	0.414634146
0.325842697	0.514705882	0.279069767	0.09375	0.43902439
0.320224719	0.514705882	0.274418605	0.0625	0.43902439
0.325842697	0.514705882	0.28372093	0.0625	0.43902439
0.328651685	0.544117647	0.274418605	0.09375	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.328651685	0.529411765	0.28372093	0.0625	0.43902439
0.325842697	0.529411765	0.279069767	0.0625	0.43902439
0.320224719	0.5	0.279069767	0.0625	0.43902439
0.314606742	0.485294118	0.269767442	0.09375	0.43902439
0.320224719	0.485294118	0.279069767	0.09375	0.43902439
0.331460674	0.514705882	0.28372093	0.125	0.43902439
0.323033708	0.514705882	0.269767442	0.125	0.43902439
0.31741573	0.5	0.274418605	0.0625	0.43902439
0.320224719	0.5	0.279069767	0.09375	0.414634146
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.31741573	0.485294118	0.28372093	0.0625	0.414634146
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.325842697	0.529411765	0.279069767	0.0625	0.43902439
0.320224719	0.5	0.274418605	0.09375	0.43902439
0.325842697	0.514705882	0.28372093	0.09375	0.414634146
0.323033708	0.5	0.274418605	0.125	0.43902439
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.328651685	0.514705882	0.279069767	0.125	0.43902439
0.325842697	0.514705882	0.28372093	0.0625	0.43902439
0.323033708	0.5	0.28372093	0.09375	0.414634146
0.320224719	0.5	0.279069767	0.09375	0.414634146
0.320224719	0.529411765	0.269767442	0.0625	0.43902439
0.314606742	0.5	0.274418605	0.0625	0.414634146
0.331460674	0.514705882	0.288372093	0.09375	0.43902439
0.31741573	0.514705882	0.265116279	0.09375	0.43902439
0.328651685	0.544117647	0.279069767	0.0625	0.43902439
0.314606742	0.5	0.279069767	0.0625	0.390243902
0.325842697	0.514705882	0.274418605	0.125	0.43902439
0.325842697	0.529411765	0.269767442	0.125	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.311797753	0.5	0.265116279	0.0625	0.43902439
0.311797753	0.470588235	0.274418605	0.0625	0.43902439
0.325842697	0.5	0.28372093	0.09375	0.43902439
0.314606742	0.514705882	0.265116279	0.0625	0.43902439
0.320224719	0.529411765	0.265116279	0.09375	0.43902439
0.328651685	0.529411765	0.279069767	0.09375	0.43902439
0.311797753	0.485294118	0.269767442	0.09375	0.414634146
0.311797753	0.485294118	0.269767442	0.0625	0.43902439
0.328651685	0.514705882	0.28372093	0.09375	0.43902439
0.314606742	0.5	0.265116279	0.09375	0.43902439
0.31741573	0.514705882	0.269767442	0.0625	0.43902439
0.325842697	0.529411765	0.274418605	0.09375	0.43902439
0.31741573	0.5	0.269767442	0.09375	0.43902439
0.31741573	0.529411765	0.269767442	0.0625	0.414634146
0.320224719	0.529411765	0.265116279	0.09375	0.43902439
0.31741573	0.485294118	0.274418605	0.09375	0.43902439
0.31741573	0.5	0.279069767	0.0625	0.414634146
0.320224719	0.5	0.279069767	0.0625	0.43902439
0.323033708	0.514705882	0.279069767	0.0625	0.43902439
0.314606742	0.5	0.269767442	0.0625	0.43902439
0.323033708	0.5	0.279069767	0.09375	0.43902439
0.320224719	0.529411765	0.269767442	0.09375	0.414634146
0.314606742	0.485294118	0.269767442	0.09375	0.43902439
